 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
у;2.4621964903147742e-05;0.0006296188168090637;0.0006788627466153592;0.0010411573730473903;0.0017974034379297853;0.00027084161393462516;0.0;0.0011959240095814618;0.00043967794469906683;1.758711778796267e-05;0.0001020052831701835;0.0007281066764216546;0.0013084815634244228;0.0011431626562175739;0.0002532544961466625;8.09007418246283e-05;0.0008476990773798009;0.0003974688620079564;0.0010411573730473903;0.001519526976879975;0.0;1.4069694230370138e-05;0.00030249842595295797;0.0;0.0009708089018955396;0.0004924392980629549;0.00027787646104981023;0.0;0.0;0.0;1.0552270672777604e-05;0.0009602566312227619;2.4621964903147742e-05;0.006025346554156012
ф;0.00021104541345555209;0.0;0.0;1.758711778796267e-05;0.0;0.00034119008508647585;0.0;0.0;0.0;0.0001125575538429611;0.0;0.0;3.165681201833281e-05;0.0;1.4069694230370138e-05;0.00013366209518851633;0.0;7.034847115185069e-05;2.110454134555521e-05;1.758711778796267e-05;5.979620047907309e-05;9.497043605499843e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0552270672777604e-05;0.0;0.0;1.758711778796267e-05
х;0.0005874097341179533;0.0;0.00017587117787962674;0.0;0.0;5.276135336388802e-05;0.0;0.0;0.0;0.00022159768412832967;0.0;3.5174235575925345e-06;0.00011959240095814618;1.4069694230370138e-05;0.00014069694230370137;0.002606410856176068;0.0;9.497043605499843e-05;3.517423557592534e-05;1.758711778796267e-05;5.627877692148055e-05;0.0;0.0;0.0;3.5174235575925345e-06;2.110454134555521e-05;0.0;0.0;0.0;2.8139388460740276e-05;3.5174235575925345e-06;0.0;0.0;0.002947600941262544
ц;0.0004678173331598071;0.0;3.517423557592534e-05;0.0;0.0;0.0007597634884399875;0.0;0.0;0.0;0.0003200855437409206;0.0;4.572650624870295e-05;3.5174235575925345e-06;0.0;0.0;0.00029898100239536546;0.0;0.0;0.0;1.758711778796267e-05;0.00011607497740055364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001934582956675894;0.0;0.0;0.0;0.0;0.00037988174421999373
ч;0.0020295533927308924;0.0;7.034847115185069e-06;0.0;0.0;0.0038832356075821583;1.4069694230370138e-05;0.0;0.0;0.0014456610821705317;0.0;0.0002919461552801804;1.758711778796267e-05;0.0;0.0008828733129557262;7.034847115185069e-05;0.0;2.8139388460740276e-05;0.0;0.004034484820558637;0.0004678173331598071;0.0;0.0;0.0;0.0;5.979620047907309e-05;0.0;0.0003236029672985132;0.0;0.0;1.4069694230370138e-05;0.0;0.0;9.14530124974059e-05
ш;0.0008476990773798009;0.0;2.8139388460740276e-05;0.0;0.0;0.002251151076859222;7.034847115185069e-06;0.0;0.0;0.0014949050119768272;0.0;0.0002532544961466625;0.0005205786865236952;1.4069694230370138e-05;0.0002638067668194401;0.0002251151076859222;1.758711778796267e-05;3.5174235575925345e-06;0.0;6.331362403666563e-05;0.00023214995480110728;0.0;0.0;0.0;0.0;3.5174235575925345e-06;0.0;0.00011959240095814618;0.0;0.0;0.0;0.0;0.0;0.00015828406009166406
щ;0.00030601584951055053;0.0;0.0;0.0;0.0;0.0012099937038118319;0.0;0.0;0.0;0.000717554405748877;0.0;0.0;0.0;0.0;6.683104759425816e-05;0.0;0.0;1.4069694230370138e-05;0.0;0.0;9.497043605499843e-05;0.0;0.0;0.0;0.0;0.0;0.0;5.627877692148055e-05;0.0;0.0;0.0;0.0;0.0;2.8139388460740276e-05
ь;0.0;7.034847115185069e-05;2.8139388460740276e-05;7.738331826703576e-05;6.331362403666563e-05;0.0004467127918142519;0.0;0.0;0.00030249842595295797;2.8139388460740276e-05;0.0;0.0009883960196835023;0.0;0.00024973707258906994;0.0011853717389086842;3.517423557592534e-05;1.4069694230370138e-05;0.0;0.0010481922201625753;0.00034119008508647585;0.0;0.0;0.0;0.0001301446716309238;8.441816538222083e-05;0.0004889218745053623;3.5174235575925345e-06;0.0;0.0;0.0;0.0;0.0004502302153718444;0.000256771919704255;0.009876925349719836
ы;0.0;0.00012310982451573871;0.0006964498644033218;0.0001125575538429611;0.00011607497740055364;0.0008863907365133187;0.0;1.758711778796267e-05;3.869165913351788e-05;3.5174235575925345e-06;0.0015406315182255302;0.00015828406009166406;0.002363708630702183;0.0012662724807333125;0.00017587117787962674;0.0;0.00010904013028536858;0.0003341552379712908;0.0006225839696938786;0.00076328091199758;3.5174235575925345e-06;0.0;0.0009426695134347993;7.034847115185069e-06;0.00012310982451573871;0.00044319536825665934;7.738331826703576e-05;0.0;0.0;0.0;0.0;0.0;4.9243929806295484e-05;0.005905754153197866
ъ;0.0;0.0;0.0;0.0;0.0;9.848785961259097e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5174235575925345e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015476663653407152;7.034847115185069e-06
э;0.0;0.0001723537543220342;3.5174235575925345e-06;1.758711778796267e-05;2.110454134555521e-05;0.0;0.0;0.0;3.5174235575925345e-06;0.0;5.276135336388802e-05;5.276135336388802e-05;3.165681201833281e-05;5.627877692148055e-05;0.00020049314278277447;0.0;1.758711778796267e-05;0.0007808680297855427;7.034847115185069e-06;0.0029124267056866186;0.0;0.0;1.0552270672777604e-05;0.0;3.5174235575925345e-06;7.034847115185069e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ю;7.034847115185069e-06;0.0002251151076859222;3.5174235575925345e-06;4.220908269111042e-05;0.0002919461552801804;0.0;0.0;2.4621964903147742e-05;1.4069694230370138e-05;0.0;0.0;7.034847115185069e-06;5.627877692148055e-05;2.110454134555521e-05;2.4621964903147742e-05;7.034847115185069e-06;1.4069694230370138e-05;4.9243929806295484e-05;0.0002638067668194401;0.0002532544961466625;0.0;3.5174235575925345e-06;2.110454134555521e-05;7.034847115185069e-06;0.00018642344855240433;7.034847115185069e-06;0.0003341552379712908;0.0;0.0;0.0;0.0;2.8139388460740276e-05;0.0;0.003387278885961611
я;0.0;1.758711778796267e-05;0.0003763643206624012;9.14530124974059e-05;0.00043264309758388176;0.00012662724807333125;0.0;0.000204010566340367;0.00017587117787962674;3.517423557592534e-05;8.09007418246283e-05;0.00015828406009166406;0.000657758205269804;0.0003165681201833281;0.0005874097341179533;0.0;1.4069694230370138e-05;8.441816538222083e-05;0.0005627877692148055;0.0011748194682359066;0.0;0.0;0.00014069694230370137;6.331362403666563e-05;0.0001020052831701835;3.165681201833281e-05;0.00021456283701314462;0.0;0.0;0.0;0.0;8.09007418246283e-05;4.9243929806295484e-05;0.011765781800147028
 ;0.0014175216937097914;0.007453420518538581;0.015163612956781416;0.0030953327306814304;0.00807600448823246;0.004213873421995857;0.0;0.0019908617335973747;0.004421401411893816;0.008983499766091333;0.0;0.008251875666112086;0.002613445703291253;0.008044347676214127;0.016166078670695288;0.011582875775152216;0.015036985708708086;0.003408383427307166;0.016211805176943993;0.006753453230577667;0.004723899837846774;0.0005627877692148055;0.0019134784153303388;0.0002884287317225878;0.006282118473860267;0.0007703157591127651;7.034847115185069e-05;0.0;0.0;0.0;0.0029511183648201367;5.627877692148055e-05;0.004062624209019377;0.0
