 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
ц;0.0005240961100812877;0.0;4.220908269111042e-05;0.0;0.0;0.0007456937942096173;0.0;0.0;0.0;0.00030249842595295797;0.0;3.341552379712908e-05;1.7587117787962672e-06;0.0;0.0;0.00027787646104981023;0.0;0.0;0.0;2.110454134555521e-05;0.0001283859598521275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00018114731321601553;0.0;0.0;0.0;0.0;0.00032536167907730944
ч;0.0020049314278277447;0.0;7.034847115185069e-06;0.0;0.0;0.003842785236669844;1.934582956675894e-05;0.0;0.0;0.0014052107112582175;0.0;0.00029018744350138413;2.4621964903147742e-05;0.0;0.0009092539896376702;6.50723358154619e-05;0.0;2.8139388460740276e-05;0.0;0.004115385562383266;0.0004238495386899004;0.0;0.0;0.0;1.7587117787962672e-06;0.00010728141850657231;0.0;0.0003165681201833281;0.0;0.0;1.0552270672777604e-05;0.0;0.0;8.441816538222083e-05
ш;0.0008459403656010045;0.0;1.5828406009166406e-05;0.0;0.0;0.0022265291119560743;8.793558893981336e-06;0.0;0.0;0.0015423902300043264;0.0;0.00027084161393462516;0.0005504767867632317;8.793558893981336e-06;0.0002638067668194401;0.00022335639590712595;1.4069694230370138e-05;7.034847115185069e-06;0.0;5.276135336388802e-05;0.0002251151076859222;0.0;0.0;0.0;0.0;3.5174235575925345e-06;0.0;0.00012662724807333125;0.0;0.0;0.0;0.0;0.0;0.00015124921297647898
щ;0.00031832683196212437;0.0;0.0;0.0;0.0;0.0011748194682359066;0.0;0.0;0.0;0.0007193131175276733;0.0;0.0;0.0;0.0;6.50723358154619e-05;1.7587117787962672e-06;0.0;1.2310982451573871e-05;0.0;0.0;9.497043605499843e-05;0.0;0.0;0.0;0.0;0.0;0.0;4.572650624870295e-05;0.0;0.0;0.0;0.0;0.0;1.758711778796267e-05
ь;1.7587117787962672e-06;4.9243929806295484e-05;3.693294735472161e-05;7.034847115185069e-05;6.155491225786936e-05;0.00042736696224749294;0.0;0.0;0.0003042571377317542;3.693294735472161e-05;0.0;0.0009602566312227619;1.7587117787962672e-06;0.00023214995480110728;0.0011871304506874804;3.341552379712908e-05;1.4069694230370138e-05;0.0;0.0010288463905958165;0.0003077745612893468;0.0;0.0;0.0;0.00015300792475527527;7.738331826703576e-05;0.0005029915687357325;8.793558893981336e-06;0.0;0.0;0.0;0.0;0.0004467127918142519;0.000256771919704255;0.00976260908409808
ы;0.0;0.00012662724807333125;0.0007263479646428584;0.00010904013028536858;0.0001125575538429611;0.0009092539896376702;0.0;1.0552270672777604e-05;5.803748870027682e-05;3.5174235575925345e-06;0.0016092212775985846;0.0001600427718704603;0.00227577304176237;0.001269789904290905;0.000177629889658423;0.0;0.00010024657139138724;0.0002884287317225878;0.0006243426814726749;0.0008142835535826717;1.7587117787962672e-06;0.0;0.0008969430071860963;7.034847115185069e-06;0.00011607497740055364;0.0004256082504686967;7.914203004583203e-05;0.0;0.0;0.0;0.0;0.0;3.869165913351788e-05;0.006009518148146846
ъ;0.0;0.0;0.0;0.0;0.0;9.497043605499843e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7587117787962672e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00013717951874610886;8.793558893981336e-06
э;0.0;0.0001600427718704603;1.7587117787962672e-06;1.0552270672777604e-05;2.4621964903147742e-05;1.7587117787962672e-06;0.0;0.0;1.7587117787962672e-06;0.0;6.683104759425816e-05;6.155491225786936e-05;2.4621964903147742e-05;5.627877692148055e-05;0.0001618014836492566;0.0;1.0552270672777604e-05;0.0007351415235368398;1.0552270672777604e-05;0.0028719763347743047;0.0;0.0;8.793558893981336e-06;0.0;5.276135336388802e-06;5.276135336388802e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ю;1.0552270672777604e-05;0.00021632154879194088;1.7587117787962672e-06;4.045037091231415e-05;0.0003007397141741617;0.0;0.0;2.8139388460740276e-05;1.4069694230370138e-05;0.0;1.2310982451573871e-05;1.2310982451573871e-05;4.7485218027499216e-05;2.9898100239536544e-05;2.4621964903147742e-05;8.793558893981336e-06;7.034847115185069e-06;4.045037091231415e-05;0.00028139388460740274;0.00023918480191629235;0.0;1.7587117787962672e-06;2.110454134555521e-05;3.5174235575925345e-06;0.0001881821603312006;8.793558893981336e-06;0.0003394313733076796;0.0;0.0;0.0;0.0;3.693294735472161e-05;0.0;0.003350345938606889
я;0.0;1.2310982451573871e-05;0.0003323965261924945;6.683104759425816e-05;0.0003939514384503639;0.00011783368917934991;0.0;0.00018114731321601553;0.00020225185456157073;4.220908269111042e-05;8.265945360342457e-05;0.0001723537543220342;0.0006999672879609144;0.0003341552379712908;0.0006120316990211011;0.0;3.341552379712908e-05;9.14530124974059e-05;0.0005768574634451756;0.001171302044678314;0.0;0.0;0.00015300792475527527;6.155491225786936e-05;9.848785961259097e-05;2.2863253124351474e-05;0.00018114731321601553;0.0;0.0;0.0;0.0;0.00010376399494897977;5.452006514268429e-05;0.0119205484366811
 ;0.0014245565408249766;0.007367243641377564;0.015378175793794562;0.003090056595345042;0.007998621169965425;0.004168146915747154;0.0;0.00190820227999395;0.004363363923193539;0.00901867400166726;0.0;0.008288808613466809;0.0025747540441577355;0.008155146518278292;0.01627511880098066;0.011577599639815828;0.014980706931786604;0.0032940671616854085;0.016357778254584083;0.006713002859665352;0.004694001737607237;0.0005997207165695271;0.0019908617335973747;0.000328879102634902;0.006308499150542211;0.0007914203004583203;6.858975937305443e-05;0.0;0.0;0.0;0.0029898100239536545;6.683104759425816e-05;0.003833991677775863;0.0
