,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
р,0.00917346,0.00021153,0.00051587,0.0002288,0.00042306,0.00631134,0.0003065,7.555e-05,0.00624443,0.0,0.0002806,8.202e-05,0.00033672,0.00088065,0.00872234,0.0003065,4.317e-05,0.00026117,0.00079,0.00305422,0.00031729,7.986e-05,1.511e-05,0.00012087,0.00026765,1.079e-05,0.00103822,0.00106628,1.511e-05,0.00022448,0.00118068
с,0.00213472,0.00025686,0.00192535,8.202e-05,0.00046623,0.00529039,0.00025686,8.634e-05,0.00180663,2.16e-06,0.00499252,0.0032787,0.00143969,0.00148934,0.00358089,0.00241532,0.00027844,0.00121306,0.01242626,0.00101232,1.295e-05,0.00027628,6.907e-05,0.00056552,0.00011008,2.16e-06,0.00025902,0.00341037,8.634e-05,0.00029355,0.00415935
т,0.00693082,0.00043385,0.00328086,0.00011008,0.00048134,0.00709918,0.00010145,0.00017699,0.00469681,0.0,0.00076625,0.00036046,0.00028708,0.00194693,0.01770586,0.00062811,0.003814,0.0018757,0.00046191,0.00225343,1.727e-05,5.396e-05,7.339e-05,0.00059142,3.669e-05,3.238e-05,0.00155409,0.00750713,0.0001403,8.85e-05,0.00056552
у,0.00027628,0.00109218,0.00158215,0.00178721,0.00269592,0.00034104,0.00214335,0.00045759,0.0006756,0.00021153,0.00104901,0.00166849,0.00218005,0.00152819,0.00045759,0.00159079,0.00083101,0.00184117,0.00232466,0.00015757,3.669e-05,0.00053962,1.943e-05,0.00137278,0.00069718,0.0003583,0.0,0.0,0.00012087,0.00089576,0.00022448
ф,0.00028492,0.0,0.0,0.0,4.32e-06,6.26e-05,0.0,0.0,0.00036262,0.0,1.079e-05,1.079e-05,1.943e-05,0.0,0.00013382,8.63e-06,9.066e-05,2.59e-05,1.079e-05,0.00012951,8.63e-06,0.0,0.0,4.32e-06,0.0,0.0,2.374e-05,0.00011872,0.0,0.0,0.0
х,0.00052019,0.00011008,0.00051371,0.00011224,0.00023527,0.00042306,3.669e-05,7.339e-05,0.00094541,0.0,0.00019426,0.00025254,0.00020721,0.00046839,0.00284701,0.00044896,0.00023743,0.00035399,0.00019858,0.0003065,8.63e-06,6.48e-06,1.295e-05,8.634e-05,5.18e-05,2.16e-06,0.0,0.0,5.18e-05,0.0,3.669e-05
ц,0.00060869,8.63e-06,7.339e-05,4.32e-06,1.511e-05,0.00099721,2.16e-06,1.079e-05,0.00028492,0.0,4.533e-05,4.32e-06,1.511e-05,4.317e-05,0.00024391,7.339e-05,1.727e-05,3.669e-05,2.806e-05,0.00019426,4.32e-06,2.16e-06,0.0,1.295e-05,2.16e-06,0.0,0.00018994,0.0,4.32e-06,2.16e-06,8.63e-06
ч,0.00306286,1.295e-05,6.907e-05,1.511e-05,2.59e-05,0.00465796,0.0,1.295e-05,0.00189729,0.0,0.00060005,2.374e-05,2.374e-05,0.00108355,0.00012735,5.18e-05,0.0001144,3.885e-05,0.00462342,0.00077273,0.0,8.63e-06,0.0,1.079e-05,0.00017052,0.0,0.0,0.00027412,6.48e-06,0.0,8.63e-06
ш,0.00102743,6.48e-06,2.158e-05,4.32e-06,4.32e-06,0.00245417,2.16e-06,4.32e-06,0.00160374,0.0,0.00047702,0.00065186,1.511e-05,0.0004727,0.00021153,4.32e-06,8.63e-06,4.32e-06,4.964e-05,0.0002547,2.16e-06,0.0,2.16e-06,0.0,2.16e-06,0.0,0.0,0.00066912,0.0,0.0,2.16e-06
щ,0.00046623,0.0,2.16e-06,0.0,0.0,0.00165122,0.0,0.0,0.00068855,0.0,0.0,0.0,0.0,6.907e-05,0.0,0.0,4.32e-06,0.0,0.0,0.00020505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101e-05,0.0,0.0,0.0
ы,4.317e-05,0.00034967,0.0014807,0.00020505,0.0004727,0.00106628,9.281e-05,0.00020505,0.00048565,0.00143322,0.0004209,0.00228365,0.00133177,0.00069718,0.00032161,0.00047702,0.0003432,0.00120874,0.00123464,0.00014893,6.48e-06,0.00115694,2.16e-06,0.00034535,0.00051371,2.374e-05,0.0,0.0,0.00011656,2.16e-06,5.18e-05
ь,0.00028276,0.0005612,0.00133825,0.00033672,0.00061084,0.00098858,9.281e-05,0.00050508,0.00141379,0.0,0.00229229,0.0002029,0.00082885,0.0041464,0.00096267,0.00115694,0.00032377,0.00213688,0.00101448,0.00026117,3.669e-05,0.00026333,8.634e-05,0.00078352,0.00038205,3.022e-05,0.0,0.0,0.00022664,0.00034751,0.0009821
э,2.16e-06,2.16e-06,8.63e-06,1.511e-05,8.63e-06,0.0,0.0,2.16e-06,0.0,1.511e-05,4.964e-05,8.63e-06,2.16e-06,2.158e-05,0.0,4.749e-05,2.16e-06,6.48e-06,0.00315567,0.0,1.079e-05,4.533e-05,0.0,2.16e-06,0.0,0.0,0.0,0.0,1.943e-05,0.0,0.0
ю,9.281e-05,0.00042953,0.00028276,6.691e-05,0.0005612,4.964e-05,6.907e-05,9.066e-05,0.00025686,0.0,0.00024175,7.123e-05,0.00021153,0.00032809,0.00020074,0.00037557,0.00018994,0.00056983,0.0006497,7.123e-05,1.511e-05,2.374e-05,1.727e-05,0.00029139,7.77e-05,0.00027844,0.0,0.0,3.669e-05,5.18e-05,7.339e-05
я,0.00031298,0.00045328,0.00188434,0.00027844,0.00128644,0.00048134,0.00026549,0.00059358,0.00116125,9.497e-05,0.00077705,0.0011483,0.00078568,0.00208292,0.00088281,0.00131882,0.00051156,0.00205486,0.00253188,0.00033888,4.101e-05,0.00034104,0.00011008,0.00065186,6.26e-05,0.00017915,0.0,0.0,0.0001921,0.00010792,0.0002547
