,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
р,0.00758983,0.00012782,0.00036005,0.00017642,0.00030964,0.00550875,0.00025924,4.501e-05,0.00508389,0.0,0.00017282,6.661e-05,0.00030784,0.00067509,0.0073198,0.00010621,1.62e-05,0.00012962,0.00063369,0.00247894,0.00027004,7.381e-05,1.8e-05,8.821e-05,0.00023583,1.26e-05,0.00084792,0.00086772,0.0,0.00018543,0.00100814,0.0007381
с,0.00171923,8.281e-05,0.00140239,1.98e-05,0.00019263,0.00428458,2.16e-05,1.08e-05,0.00138259,1.8e-06,0.00383272,0.00273457,0.00104594,0.00088392,0.00281738,0.00167783,0.00016022,0.00066969,0.00990315,0.0007453,3.6e-06,0.00018002,8.101e-05,0.00038525,8.461e-05,0.0,0.00020703,0.0029092,0.0,0.00023223,0.00342767,0.0036455
т,0.00554655,5.4e-06,0.00230071,1.08e-05,7.921e-05,0.00580219,0.0,2.16e-05,0.00353748,0.0,0.00032404,0.00022503,4.141e-05,0.00116476,0.01431375,6.841e-05,0.0029218,0.00109815,8.821e-05,0.00175704,0.0,9e-06,6.121e-05,0.00033665,9e-06,2.88e-05,0.00128718,0.00631166,1.26e-05,7.741e-05,0.00039425,0.00578959
у,6.661e-05,0.00077951,0.00061208,0.00142579,0.00193886,0.00019083,0.00160222,0.00021423,3.6e-06,0.00023223,0.00065889,0.00141679,0.00151221,0.00050407,5.4e-06,0.0007489,0.00047166,0.00098653,0.0014834,1.8e-06,1.44e-05,0.00040686,9e-06,0.00078491,0.00057068,0.00028624,0.0,0.0,0.0,0.00086592,5.941e-05,0.00649348
ф,0.00023043,0.0,0.0,0.0,0.0,5.221e-05,0.0,0.0,0.00030064,0.0,1.8e-06,1.08e-05,7.2e-06,1.8e-06,0.00011702,0.0,5.761e-05,1.08e-05,1.26e-05,9.001e-05,9e-06,0.0,0.0,1.8e-06,1.8e-06,0.0,2.52e-05,0.00010261,0.0,0.0,0.0,2.88e-05
х,0.00038345,0.0,0.00019083,0.0,0.0,0.00030964,0.0,5.4e-06,0.00047166,0.0,0.0,0.00011702,5.041e-05,0.00014942,0.0022107,0.0,7.741e-05,3.961e-05,5.041e-05,0.00017462,0.0,0.0,0.0,0.0,2.34e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002956
ц,0.00050047,0.0,1.44e-05,0.0,0.0,0.0007579,0.0,0.0,0.00023043,0.0,1.08e-05,0.0,1.8e-06,0.0,0.00015842,0.0,0.0,0.0,7.2e-06,0.00018182,0.0,0.0,0.0,1.8e-06,0.0,0.0,0.00017822,0.0,0.0,0.0,0.0,0.00036185
ч,0.00238892,0.0,3.6e-06,0.0,0.0,0.00391733,0.0,0.0,0.00153741,0.0,0.00050047,7.2e-06,1.8e-06,0.00086412,6.841e-05,0.0,8.101e-05,0.0,0.00387953,0.00064449,0.0,0.0,0.0,0.0,0.00012782,0.0,0.0,0.00022863,0.0,0.0,0.0,0.00045366
ш,0.00083891,0.0,7.2e-06,0.0,0.0,0.00205948,0.0,0.0,0.00135198,0.0,0.00035825,0.00050407,7.2e-06,0.00038705,0.00015662,0.0,0.0,0.0,4.141e-05,0.00018543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055268,0.0,0.0,0.0,5.761e-05
щ,0.00036005,0.0,0.0,0.0,0.0,0.0014456,0.0,0.0,0.00058688,0.0,0.0,0.0,0.0,3.6e-05,1.8e-06,0.0,0.0,0.0,0.0,0.00014222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,7.2e-06
ы,0.0,0.00014582,0.00077771,0.00011342,0.00015842,0.0007345,1.8e-05,5.761e-05,5.4e-06,0.00123857,0.00014222,0.00173724,0.00095593,0.00016382,0.0,8.641e-05,0.00019443,0.00062108,0.0007273,0.0,0.0,0.00091452,1.8e-06,0.00017102,0.00048787,1.44e-05,0.0,0.0,0.0,0.0,3.6e-06,0.00435659
ь,0.0,8.101e-05,3.6e-05,0.00013682,2.52e-05,0.00044826,0.0,0.00012962,0.00011702,0.0,0.00128357,1.8e-06,0.00032764,0.00213869,1.8e-06,0.0,0.0,0.00088212,0.00024663,0.0,9e-06,0.00010981,6.841e-05,8.461e-05,0.00028084,3.781e-05,0.0,0.0,0.0,0.00030964,0.00058688,0.01142795
э,0.0,0.0,1.8e-06,5.4e-06,1.8e-06,0.0,0.0,1.8e-06,0.0,1.26e-05,5.581e-05,1.8e-06,3.6e-06,2.16e-05,0.0,2.52e-05,3.6e-06,1.26e-05,0.00277958,0.0,7.2e-06,4.861e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-06,0.0,0.0,1.08e-05
ю,0.0,0.00027904,5.4e-06,1.8e-06,0.00029704,0.0,1.8e-05,5.4e-06,1.8e-06,0.0,1.08e-05,1.08e-05,4.321e-05,4.501e-05,0.0,0.0,5.761e-05,0.00019263,0.00037625,0.0,0.0,7.2e-06,7.2e-06,0.00010441,5.941e-05,0.00021423,0.0,0.0,0.0,3.42e-05,0.0,0.0029254
я,0.0,2.52e-05,0.00027364,7.201e-05,0.00049507,9.001e-05,8.641e-05,0.00019803,1.26e-05,8.461e-05,0.00016562,0.0007039,0.00034025,0.00059768,0.0,5.401e-05,7.381e-05,0.00061028,0.00158782,0.0,0.0,0.00019443,6.301e-05,0.00011702,9e-06,0.00014222,0.0,0.0,0.0,9.901e-05,9.721e-05,0.01145136
 ,0.00249874,0.0066465,0.01632642,0.002974,0.00803449,0.00412076,0.0021837,0.00421077,0.0117592,7.2e-06,0.00800029,0.00243033,0.00584179,0.01551991,0.01146936,0.0161734,0.0051181,0.01559372,0.00855836,0.00452762,0.00046986,0.00152301,0.00027004,0.00608663,0.00054727,5.581e-05,0.0,0.0,0.00273277,5.581e-05,0.00246454,0.0
