,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
р,0.00751873,0.00013592,0.00037985,0.00018002,0.00029704,0.00535033,0.00024573,4.681e-05,0.00507489,0.0,0.00019533,6.301e-05,0.00029614,0.00066969,0.00722979,0.00010261,1.98e-05,0.00013232,0.00064449,0.00251854,0.00026644,6.031e-05,1.62e-05,8.191e-05,0.00022503,1.35e-05,0.00084702,0.00089832,0.0,0.00018363,0.00096223,0.000712
с,0.00171113,8.641e-05,0.00135829,2.79e-05,0.00019533,0.00427108,2.25e-05,9e-06,0.00137989,9e-07,0.00384983,0.00269317,0.00105854,0.00086142,0.00282009,0.00165983,0.00018002,0.00066429,0.01003457,0.0007075,5.4e-06,0.00019623,5.491e-05,0.00035375,8.011e-05,9e-07,0.00020613,0.0029191,0.0,0.00024033,0.00347898,0.0036266
т,0.00563027,1.08e-05,0.00229621,9e-06,9.721e-05,0.00579229,0.0,1.98e-05,0.00344927,0.0,0.00033665,0.00020433,3.24e-05,0.00109005,0.01441097,6.751e-05,0.00299201,0.00108555,7.471e-05,0.00173904,0.0,1.26e-05,5.671e-05,0.00031144,9e-06,2.79e-05,0.00132228,0.00633687,9e-06,7.831e-05,0.00038975,0.00570588
у,5.761e-05,0.00076871,0.00063009,0.00140419,0.00191276,0.00018813,0.00169673,0.00021243,7.2e-06,0.00020253,0.00061388,0.00137539,0.0014942,0.00050677,3.6e-06,0.0007615,0.00048787,0.00100814,0.00150411,1.8e-06,1.17e-05,0.00038795,9e-06,0.00078581,0.00056168,0.00029974,0.0,0.0,9e-07,0.00078401,5.941e-05,0.0066051
ф,0.00022053,0.0,0.0,0.0,0.0,6.121e-05,0.0,0.0,0.00030964,0.0,9e-07,9.9e-06,6.3e-06,9e-07,0.00011612,9e-07,7.291e-05,1.71e-05,1.08e-05,9.721e-05,8.1e-06,0.0,0.0,9e-07,9e-07,0.0,2.07e-05,9.631e-05,0.0,0.0,0.0,3.24e-05
х,0.00041676,0.0,0.00017552,0.0,0.0,0.00029254,0.0,7.2e-06,0.00050047,0.0,9e-07,0.00012872,6.301e-05,0.00014132,0.002217,0.0,7.831e-05,2.61e-05,4.771e-05,0.00016112,0.0,0.0,0.0,9e-07,1.89e-05,0.0,0.0,0.0,1.8e-06,0.0,0.0,0.00299561
ц,0.00050137,0.0,2.25e-05,0.0,0.0,0.00078041,0.0,0.0,0.00022323,0.0,1.89e-05,0.0,2.7e-06,0.0,0.00017552,0.0,0.0,0.0,8.1e-06,0.00017642,0.0,0.0,0.0,9e-07,9e-07,0.0,0.00016742,0.0,0.0,0.0,0.0,0.00036005
ч,0.00246364,0.0,1.8e-06,0.0,0.0,0.00390293,0.0,0.0,0.00154911,0.0,0.00047436,1.26e-05,9e-07,0.00085152,7.561e-05,0.0,8.101e-05,0.0,0.00395604,0.00065079,0.0,0.0,0.0,9e-07,0.00013052,0.0,0.0,0.00023133,0.0,0.0,0.0,0.00044466
ш,0.00085602,0.0,7.2e-06,0.0,0.0,0.00206128,0.0,0.0,0.00134298,0.0,0.00042396,0.00049957,1.08e-05,0.00039605,0.00017552,0.0,0.0,0.0,4.231e-05,0.00019533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00057428,0.0,0.0,0.0,5.581e-05
щ,0.00037895,0.0,9e-07,0.0,0.0,0.0014348,0.0,0.0,0.00057428,0.0,0.0,0.0,0.0,4.951e-05,9e-07,0.0,2.7e-06,0.0,0.0,0.00015122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.691e-05,0.0,0.0,0.0,5.4e-06
ы,0.0,0.00013862,0.00076961,0.00010441,0.00015122,0.00077141,2.16e-05,4.861e-05,5.4e-06,0.00121607,0.00014762,0.00181645,0.00094243,0.00016472,0.0,0.00010081,0.00019263,0.00065619,0.0007156,1.8e-06,0.0,0.00089832,9e-07,0.00017012,0.00044016,1.08e-05,0.0,0.0,0.0,0.0,2.7e-06,0.00428099
ь,0.0,8.461e-05,3.51e-05,0.00012782,1.8e-05,0.00044016,0.0,0.00014582,0.00011792,0.0,0.00122237,9e-07,0.00032854,0.0021684,4.5e-06,0.0,0.0,0.00082901,0.00024213,0.0,1.17e-05,0.00011522,5.941e-05,8.011e-05,0.00028624,2.61e-05,0.0,0.0,0.0,0.00032224,0.00060308,0.01138206
э,0.0,0.0,3.6e-06,7.2e-06,5.4e-06,0.0,0.0,9e-07,0.0,1.35e-05,4.411e-05,7.2e-06,2.7e-06,2.16e-05,0.0,2.88e-05,1.8e-06,9e-06,0.00267247,0.0,8.1e-06,3.781e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.17e-05,0.0,0.0,1.17e-05
ю,0.0,0.00029704,3.6e-06,3.6e-06,0.00030334,0.0,1.53e-05,6.3e-06,9e-07,9e-07,1.26e-05,1.17e-05,4.231e-05,4.231e-05,0.0,0.0,5.851e-05,0.00019713,0.00036545,0.0,0.0,5.4e-06,6.3e-06,9.811e-05,5.761e-05,0.00022593,0.0,0.0,0.0,3.691e-05,0.0,0.00297581
я,0.0,1.53e-05,0.00026014,5.941e-05,0.00047887,9.181e-05,9.811e-05,0.00021153,1.53e-05,8.551e-05,0.00016562,0.00077861,0.00033935,0.00058058,0.0,4.681e-05,7.291e-05,0.00062739,0.00157432,0.0,0.0,0.00018273,6.751e-05,0.00013952,9.9e-06,0.00012962,0.0,0.0,0.0,9.721e-05,8.371e-05,0.01135505
 ,0.00251764,0.0066105,0.01648486,0.00309642,0.0080066,0.00401005,0.0022134,0.00428549,0.0117061,7.2e-06,0.00796519,0.00244473,0.00573018,0.01552533,0.01131005,0.01601409,0.0051244,0.01565044,0.00855387,0.00446101,0.00045006,0.00151581,0.00029524,0.00598492,0.00054277,6.301e-05,0.0,0.0,0.00284349,5.671e-05,0.00248884,0.0
